,word,frequence,number_of_edges
12831,pestilence,281901.0,3.0
12832,adulteress,45161.0,4.0
12833,persistent,5332514.0,9.0
12834,diagnosis,16638749.0,1.0
12835,pilaf,148512.0,1.0
12836,commencement,4179071.0,5.0
12837,preciseness,21173.0,1.0
12838,pardon,1963040.0,14.0
12839,powdery,313829.0,4.0
12840,dissolution,2003049.0,9.0
12841,idealised,68635.0,2.0
12842,plenary,2360816.0,1.0
12843,asian,66078353.0,1.0
12844,calculate,18767840.0,13.0
12845,teaspoon,2720378.0,1.0
12846,coition,14058.0,1.0
12847,categorisation,249000.0,5.0
12848,promulgated,1413938.0,4.0
12849,smack,1451860.0,16.0
12850,govern,3331779.0,11.0
12851,plowshare,15774.0,1.0
12852,embroider,135407.0,4.0
12853,baking,5711682.0,2.0
12854,holiness,1451199.0,1.0
12855,unauthorised,1543425.0,1.0
12856,undernourishment,16777.0,1.0
12857,winded,309370.0,15.0
12858,implemented,19164127.0,3.0
12859,worthlessness,72696.0,1.0
12860,gawky,31136.0,2.0
12861,tirelessly,354034.0,1.0
12862,hazy,589765.0,3.0
12863,liberated,953225.0,7.0
12864,unintegrated,18928.0,1.0
12865,repugnance,53620.0,1.0
12866,possibility,16926005.0,2.0
12867,refractoriness,24817.0,1.0
12868,mummery,32558.0,1.0
12869,dry,31744277.0,2.0
12870,suitably,1029188.0,3.0
12871,credit,175916536.0,8.0
12872,harass,641237.0,5.0
12873,indentation,635608.0,5.0
12874,exacting,506966.0,6.0
12875,demagogic,28459.0,1.0
12876,suitable,20824374.0,2.0
12877,menial,159164.0,1.0
12878,overabundance,70735.0,1.0
12879,soybean,2022297.0,2.0
12880,reckoner,50497.0,2.0
12881,overworking,22857.0,1.0
12882,labyrinthine,103847.0,2.0
12883,watering,2050112.0,3.0
12884,leaky,650957.0,1.0
12885,wary,1303191.0,6.0
12886,wart,497136.0,1.0
12887,warp,2399276.0,4.0
12888,lunge,199129.0,3.0
12889,warm,22645772.0,8.0
12890,frenzy,1804848.0,1.0
12891,adult,97583096.0,3.0
12892,ward,14828169.0,1.0
12893,ware,5292386.0,3.0
12894,lungi,19705.0,1.0
12895,confound,245851.0,3.0
12896,kraut,254150.0,2.0
12897,setup,23534848.0,1.0
12898,somber,359970.0,3.0
12899,solitaire,3526423.0,1.0
12900,guise,767344.0,1.0
12901,akin,1712538.0,4.0
12902,candidature,217594.0,1.0
12903,programming,50630393.0,4.0
12904,advancing,2978593.0,11.0
12905,masterly,112581.0,1.0
12906,aging,12014007.0,6.0
12907,twitching,306544.0,6.0
12908,faulty,2125277.0,3.0
12909,minority,13436730.0,1.0
12910,replacing,5983876.0,7.0
12911,president,113756376.0,5.0
12912,hydroplane,61196.0,1.0
12913,attempt,25251906.0,6.0
12914,roquette,22730.0,1.0
12915,fungi,2000715.0,1.0
12916,puny,431761.0,2.0
12917,cockscomb,15422.0,1.0
12918,inhabitant,298013.0,2.0
12919,befall,197417.0,1.0
12920,ghastly,369241.0,7.0
12921,unsullied,41477.0,2.0
12922,miscarry,36479.0,1.0
12923,makeshift,421977.0,1.0
12924,wickedness,508529.0,8.0
12925,ionised,36943.0,2.0
12926,missionary,2576312.0,2.0
12927,persist,1821030.0,2.0
12928,tentacle,613311.0,1.0
12929,investiture,106159.0,2.0
12930,bony,487592.0,9.0
12931,meat,17652296.0,1.0
12932,chickenpox,270874.0,1.0
12933,sleepless,668650.0,1.0
12934,composition,15940860.0,9.0
12935,roast,3205415.0,4.0
12936,side,141155373.0,7.0
12937,bone,17581312.0,6.0
12938,mean,80312172.0,12.0
12939,improvise,271728.0,1.0
12940,prepuce,27248.0,1.0
12941,marital,4217902.0,1.0
12942,croup,149483.0,1.0
12943,milan,6999311.0,1.0
12944,hindbrain,46463.0,1.0
12945,stealing,3046130.0,3.0
12946,shirking,66487.0,4.0
12947,velvet,5591498.0,1.0
12948,gradient,3607228.0,1.0
12949,crucial,9880976.0,1.0
12950,bellybutton,56552.0,1.0
12951,instigate,159028.0,1.0
12952,whiff,246582.0,1.0
12953,dodder,44970.0,2.0
12954,struggle,10637472.0,6.0
12955,baneberry,19677.0,1.0
12956,scrounge,57209.0,1.0
12957,fleck,454043.0,3.0
12958,naughty,6845743.0,6.0
12959,unlit,94251.0,1.0
12960,comforted,394615.0,5.0
12961,featured,65473127.0,4.0
12962,upwind,205437.0,1.0
12963,comforter,2070250.0,5.0
12964,radiate,394175.0,6.0
12965,ditch,2373753.0,3.0
12966,hermaphroditic,25249.0,1.0
12967,dumbfounded,179931.0,17.0
12968,dwell,2014411.0,2.0
12969,hayfield,123179.0,1.0
12970,idling,341794.0,5.0
12971,bouncing,1887098.0,12.0
12972,gym,9872500.0,1.0
12973,stoic,272080.0,1.0
12974,boarding,4284819.0,4.0
12975,distance,59651113.0,2.0
12976,affront,224833.0,12.0
12977,preparation,25268975.0,10.0
12978,stratified,711208.0,4.0
12979,exorcise,62996.0,1.0
12980,mini,53025248.0,1.0
12981,resinous,61353.0,1.0
12982,quench,479869.0,3.0
12983,modern,57030009.0,4.0
12984,mind,75393868.0,22.0
12985,seed,17788166.0,2.0
12986,unappetizing,24141.0,1.0
12987,sounding,3264254.0,6.0
12988,mint,12694588.0,20.0
12989,devolution,581494.0,2.0
12990,uncrowned,22466.0,1.0
12991,heptad,15299.0,1.0
12992,translator,5099564.0,1.0
12993,regular,62308697.0,8.0
12994,immunological,563977.0,1.0
12995,echography,13725.0,1.0
12996,mitigate,1866466.0,1.0
12997,mushy,275321.0,5.0
12998,alarm,17059844.0,18.0
12999,dog,77271631.0,2.0
13000,dunghill,20536.0,1.0
13001,reassertion,20882.0,1.0
13002,principle,16633530.0,1.0
13003,dot,26590624.0,2.0
13004,planetary,3681473.0,2.0
13005,antisocial,543419.0,1.0
13006,hunger,5358049.0,3.0
13007,sown,561441.0,2.0
13008,sneaking,498814.0,16.0
13009,sphericity,23581.0,1.0
13010,sugar,22450333.0,12.0
13011,ebbing,77049.0,1.0
13012,stabbing,682088.0,5.0
13013,folks,13760930.0,6.0
13014,forelock,20770.0,1.0
13015,rejoicing,419630.0,8.0
13016,raiment,181107.0,4.0
13017,tiled,861822.0,1.0
13018,patten,603919.0,1.0
13019,scudding,12943.0,6.0
13020,footrest,169322.0,1.0
13021,disco,7067687.0,1.0
13022,sinker,204304.0,2.0
13023,scrumptious,263626.0,1.0
13024,grilled,2654595.0,2.0
13025,fascinating,5694739.0,18.0
13026,decided,33030803.0,5.0
13027,subject,256217838.0,14.0
13028,voyage,4119859.0,2.0
13029,westernmost,111180.0,1.0
13030,exponent,1181496.0,3.0
13031,connective,822706.0,6.0
13032,simplest,2486239.0,1.0
13033,shoemaking,33657.0,1.0
13034,lazy,5813872.0,4.0
13035,triplet,613821.0,3.0
13036,visualise,182531.0,1.0
13037,mezuzah,121735.0,1.0
13038,beautician,205915.0,1.0
13039,laze,91798.0,1.0
13040,disorderly,504137.0,3.0
13041,agonist,955141.0,1.0
13042,secularization,90386.0,1.0
13043,peddling,249086.0,7.0
13044,steersman,17488.0,1.0
13045,height,30745406.0,5.0
13046,initiative,21828838.0,3.0
13047,loaded,13714028.0,29.0
13048,paralyze,131393.0,1.0
13049,riled,120346.0,11.0
13050,erect,2057313.0,1.0
13051,frisk,152512.0,4.0
13052,idol,5560487.0,1.0
13053,website,242876222.0,1.0
13054,efficacy,4339810.0,2.0
13055,suppress,2179050.0,6.0
13056,chum,578060.0,4.0
13057,decrepit,181870.0,3.0
13058,placental,379752.0,1.0
13059,kota,649105.0,1.0
13060,crudeness,25538.0,4.0
13061,melted,1896489.0,9.0
13062,tinsmith,22775.0,1.0
13063,mousy,46820.0,2.0
13064,concomitant,693507.0,4.0
13065,diaphragm,1212110.0,2.0
13066,faker,62739.0,1.0
13067,mouse,33667003.0,1.0
13068,matriculation,297271.0,1.0
13069,lacking,4626224.0,5.0
13070,make,405084642.0,55.0
13071,belly,7346354.0,4.0
13072,unfortunate,3388419.0,2.0
13073,entitled,18140595.0,4.0
13074,percolation,319506.0,1.0
13075,kit,59963349.0,1.0
13076,delight,5619474.0,6.0
13077,kin,2331005.0,11.0
13078,bequest,600153.0,1.0
13079,unseasoned,23627.0,3.0
13080,bedspread,388555.0,2.0
13081,unglamorous,34191.0,1.0
13082,protocol,31296886.0,1.0
13083,consciousness,7431877.0,4.0
13084,wasteful,533777.0,1.0
13085,vaporisation,12732.0,3.0
13086,fullness,767287.0,2.0
13087,debile,18234.0,2.0
13088,legion,2920122.0,2.0
13089,assassination,2116496.0,1.0
13090,character,52028227.0,13.0
13091,stomper,210057.0,1.0
13092,stockpiling,215573.0,3.0
13093,forester,981592.0,1.0
13094,auspicious,364312.0,1.0
13095,dreamy,2000147.0,5.0
13096,destroy,9811516.0,4.0
13097,forested,770069.0,1.0
13098,shoulder,12100130.0,1.0
13099,dignity,4068074.0,1.0
13100,daemon,4476792.0,4.0
13101,performing,20907433.0,2.0
13102,unnecessary,5507431.0,2.0
13103,disillusioned,398923.0,2.0
13104,oncoming,324940.0,1.0
13105,intern,3654560.0,2.0
13106,coziness,40394.0,2.0
13107,theatrical,3867947.0,2.0
13108,grading,4974318.0,9.0
13109,drudge,1087893.0,4.0
13110,bamboozle,83107.0,1.0
13111,faery,339469.0,2.0
13112,unorganized,213589.0,2.0
13113,angora,358752.0,1.0
13114,cliche,537105.0,2.0
13115,terminology,5134603.0,1.0
13116,restate,295663.0,2.0
13117,marshal,1909071.0,4.0
13118,rudiment,17437.0,1.0
13119,energiser,33267.0,1.0
13120,daub,79771.0,3.0
13121,carving,2411889.0,1.0
13122,illustrious,658575.0,5.0
13123,saltpetre,13000.0,2.0
13124,lampoon,413978.0,5.0
13125,vehemence,129090.0,4.0
13126,intoxicant,46292.0,2.0
13127,pinna,62852.0,1.0
13128,entombment,43458.0,2.0
13129,idealized,358433.0,3.0
13130,malignity,31011.0,1.0
13131,diaper,3933145.0,1.0
13132,turpentine,164256.0,1.0
13133,surrender,4018892.0,9.0
13134,bounds,4073402.0,19.0
13135,bloodstained,66771.0,1.0
13136,gland,2561362.0,1.0
13137,fatherhood,493235.0,1.0
13138,conceptional,13012.0,2.0
13139,unbaptized,18738.0,1.0
13140,authoritative,2355249.0,1.0
13141,willful,797316.0,2.0
13142,demesne,66923.0,1.0
13143,grabby,21581.0,2.0
13144,garland,3180361.0,5.0
13145,outback,1962517.0,1.0
13146,stigmatisation,29977.0,1.0
13147,potato,6397517.0,2.0
13148,amniotic,272757.0,1.0
13149,teeth,9769437.0,1.0
13150,auspiciously,13440.0,1.0
13151,revoke,1266673.0,6.0
13152,hypocalcemia,53930.0,1.0
13153,peerage,278441.0,1.0
13154,manager,87441704.0,3.0
13155,proletarian,223686.0,2.0
13156,fancier,156511.0,1.0
13157,mackintosh,608350.0,1.0
13158,skirting,274810.0,14.0
13159,turnabout,97663.0,1.0
13160,proscenium,73730.0,2.0
13161,stigmatise,13368.0,1.0
13162,forked,368566.0,8.0
13163,cleaners,7057391.0,2.0
13164,luxuriance,19790.0,1.0
13165,democrat,6758314.0,1.0
13166,item,296534935.0,2.0
13167,excellence,14332723.0,1.0
13168,anesthetic,579013.0,1.0
13169,nineties,720708.0,1.0
13170,twaddle,75584.0,7.0
13171,gazebo,917143.0,1.0
13172,unobserved,306588.0,1.0
13173,implanted,901418.0,7.0
13174,cuckoo,1045203.0,7.0
13175,shift,19811555.0,21.0
13176,bruiser,139932.0,2.0
13177,somatic,879135.0,1.0
13178,expulsion,1201583.0,5.0
13179,junkers,108909.0,1.0
13180,suggestion,10033796.0,9.0
13181,raccoon,633241.0,1.0
13182,quarrel,584822.0,4.0
13183,elect,5748899.0,2.0
13184,withal,284116.0,2.0
13185,verge,1422550.0,4.0
13186,surmount,97975.0,1.0
13187,gonzo,1046835.0,2.0
13188,wealth,14325239.0,2.0
13189,salting,108357.0,1.0
13190,dude,6412649.0,1.0
13191,connector,10600313.0,1.0
13192,somersault,125503.0,2.0
13193,conformable,81308.0,2.0
13194,duds,221438.0,5.0
13195,compactly,132414.0,1.0
13196,lessened,353285.0,5.0
13197,aspirin,2302297.0,1.0
13198,recreant,14804.0,6.0
13199,multitudinous,50122.0,4.0
13200,orator,286521.0,2.0
13201,demolish,394753.0,5.0
13202,trapezium,47038.0,1.0
13203,socialisation,112428.0,4.0
13204,grouchy,202666.0,1.0
13205,confused,8673715.0,28.0
13206,battered,1240729.0,4.0
13207,arbor,5057261.0,5.0
13208,propagandistic,33615.0,1.0
13209,drapery,670328.0,1.0
13210,may,827822032.0,1.0
13211,mac,57875961.0,1.0
13212,mad,16468434.0,1.0
13213,hombre,699131.0,1.0
13214,destructive,3190670.0,2.0
13215,man,181445531.0,1.0
13216,fraudulence,13259.0,2.0
13217,neck,17354931.0,1.0
13218,tatting,135263.0,1.0
13219,cantabile,73689.0,1.0
13220,rarified,39796.0,1.0
13221,deposit,19026524.0,12.0
13222,deceive,781724.0,2.0
13223,tall,14323697.0,3.0
13224,talk,97850837.0,10.0
13225,shield,9374574.0,4.0
13226,shaky,766843.0,4.0
13227,wishing,5077786.0,3.0
13228,recoup,353144.0,1.0
13229,pitch,9800556.0,17.0
13230,sunfish,259275.0,1.0
13231,adhesive,4585279.0,7.0
13232,satyr,136838.0,3.0
13233,listing,188985252.0,7.0
13234,sensitized,228582.0,4.0
13235,sandpile,15082.0,1.0
13236,undisclosed,839542.0,1.0
13237,christening,1225355.0,3.0
13238,anteroom,37760.0,5.0
13239,hemoptysis,44306.0,1.0
13240,rock,95488543.0,3.0
13241,hijack,866886.0,3.0
13242,cheekily,25347.0,2.0
13243,heartsick,20631.0,2.0
13244,latin,36548259.0,2.0
13245,tobogganing,49812.0,2.0
13246,tattletale,28720.0,1.0
13247,fazed,102487.0,4.0
13248,goth,2333078.0,4.0
13249,sideways,1387766.0,3.0
13250,smudge,336879.0,2.0
13251,brooks,9546939.0,11.0
13252,dehumanization,42291.0,1.0
13253,cough,3451640.0,1.0
13254,advance,44738913.0,22.0
13255,derivation,1572113.0,5.0
13256,thing,97451660.0,2.0
13257,think,217856550.0,17.0
13258,commercialize,244233.0,1.0
13259,crib,3847659.0,1.0
13260,suspended,7558542.0,3.0
13261,cheesy,1110227.0,2.0
13262,interchange,3415606.0,8.0
13263,little,187142519.0,13.0
13264,arthritic,229908.0,4.0
13265,murky,532036.0,3.0
13266,modernism,851192.0,2.0
13267,bloodshed,482924.0,4.0
13268,eyes,47975295.0,7.0
13269,sharecropper,37807.0,1.0
13270,adrenergic,719163.0,1.0
13271,broadcast,18743293.0,8.0
13272,eyed,7613901.0,1.0
13273,butt,14942973.0,21.0
13274,interred,235137.0,4.0
13275,cleanse,1174251.0,14.0
13276,ceramics,4181926.0,1.0
13277,sailing,9341445.0,7.0
13278,fertilisation,205177.0,2.0
13279,booted,784230.0,2.0
13280,notched,492786.0,4.0
13281,gathering,10976378.0,12.0
13282,hearer,155868.0,1.0
13283,sherbert,91583.0,1.0
13284,glibly,42186.0,1.0
13285,castor,971100.0,2.0
13286,efficient,22963685.0,2.0
13287,drubbing,55471.0,8.0
13288,isolate,2127204.0,3.0
13289,consortium,7532771.0,1.0
13290,endangered,5486113.0,10.0
13291,potential,65835469.0,6.0
13292,switching,9915827.0,11.0
13293,amiable,343390.0,18.0
13294,invertebrate,672587.0,1.0
13295,amiably,43322.0,1.0
13296,coveted,844165.0,2.0
13297,hedgehog,1368651.0,1.0
13298,shop,212793848.0,12.0
13299,rating,207858692.0,19.0
13300,shot,41614412.0,39.0
13301,show,247541986.0,20.0
13302,accession,4673797.0,5.0
13303,corned,203685.0,1.0
13304,lozenge,152717.0,1.0
13305,shod,197441.0,2.0
13306,shoe,16342426.0,1.0
13307,corner,36419737.0,4.0
13308,cornet,469412.0,2.0
13309,deportation,959947.0,2.0
13310,plume,1269109.0,8.0
13311,dick,25327691.0,2.0
13312,plumb,631703.0,2.0
13313,dull,3211484.0,24.0
13314,manoeuvre,297065.0,9.0
13315,plump,3386553.0,6.0
13316,stonewalling,85940.0,1.0
13317,exaggeration,518741.0,2.0
13318,nearly,31677743.0,2.0
13319,telekinesis,79050.0,1.0
13320,gibber,37023.0,10.0
13321,gibbet,64266.0,1.0
13322,secondary,28805149.0,4.0
13323,sideway,13142.0,1.0
13324,harbinger,420114.0,7.0
13325,worrying,2077211.0,7.0
13326,repetitiveness,28442.0,1.0
13327,camping,17770402.0,7.0
13328,limber,127125.0,1.0
13329,ornament,3057576.0,4.0
13330,malted,103124.0,1.0
13331,orchidectomy,12885.0,1.0
13332,flatfoot,32580.0,1.0
13333,parental,6191119.0,2.0
13334,legibly,199362.0,1.0
13335,neoclassic,38101.0,1.0
13336,enthralling,184275.0,9.0
13337,bedraggled,47059.0,4.0
13338,gratefully,836497.0,1.0
13339,familiarizing,68317.0,4.0
13340,cornered,364343.0,4.0
13341,catbird,80123.0,1.0
13342,accusation,847191.0,1.0
13343,slain,1281084.0,4.0
13344,guesstimate,39603.0,1.0
13345,abruptness,31216.0,7.0
13346,sensible,3503935.0,2.0
13347,intrude,251464.0,1.0
13348,dependably,38072.0,1.0
13349,suppressed,2002016.0,11.0
13350,conceptualization,274333.0,3.0
13351,elbowing,55330.0,1.0
13352,dependable,1845100.0,2.0
13353,shakers,1477675.0,1.0
13354,educated,5649174.0,11.0
13355,traversal,627036.0,1.0
13356,diviner,56478.0,6.0
13357,invigorate,147816.0,4.0
13358,ignition,3693724.0,3.0
13359,huckster,50298.0,3.0
13360,inadvertence,38058.0,1.0
13361,vandalize,47153.0,1.0
13362,pressing,6180129.0,21.0
13363,malformed,418137.0,1.0
13364,tidiness,34234.0,1.0
13365,deduction,4110107.0,4.0
13366,misunderstand,313613.0,1.0
13367,kopje,22229.0,1.0
13368,speech,31119662.0,12.0
13369,disquieted,25194.0,7.0
13370,dishonorable,134921.0,1.0
13371,commode,215790.0,2.0
13372,cauterize,25396.0,1.0
13373,diversion,2426724.0,3.0
13374,climbing,11117590.0,2.0
13375,dishonorably,16986.0,1.0
13376,weave,1965230.0,3.0
13377,largely,11587337.0,1.0
13378,falsification,277853.0,6.0
13379,roughly,6633076.0,1.0
13380,substantive,2944502.0,2.0
13381,solve,13452150.0,1.0
13382,creeper,628591.0,1.0
13383,easing,816730.0,10.0
13384,parody,1829413.0,6.0
13385,diffident,41844.0,1.0
13386,money,190205072.0,13.0
13387,fueling,696312.0,3.0
13388,carboxylic,359703.0,1.0
13389,woodworking,2501856.0,1.0
13390,multiplex,887722.0,1.0
13391,shingles,929355.0,2.0
13392,pile,4824165.0,22.0
13393,heavier,2070219.0,1.0
13394,pill,12749153.0,2.0
13395,grip,8094164.0,6.0
13396,grit,1281375.0,5.0
13397,stinking,397912.0,5.0
13398,reddened,104415.0,4.0
13399,grim,2650255.0,26.0
13400,grin,2072855.0,1.0
13401,homosexuality,2392550.0,4.0
13402,indisputable,239719.0,3.0
13403,server,153788544.0,1.0
13404,facing,13385115.0,7.0
13405,eerily,238910.0,1.0
13406,squally,13153.0,1.0
13407,sneaker,815930.0,3.0
13408,titan,3974407.0,3.0
13409,pasture,1913652.0,3.0
13410,ascent,1509864.0,4.0
13411,matching,34803404.0,21.0
13412,choir,5156247.0,2.0
13413,confirm,22651501.0,14.0
13414,forgoing,98052.0,10.0
13415,decomposition,2608915.0,3.0
13416,sousaphone,36715.0,1.0
13417,intravenous,1717195.0,1.0
13418,grafting,496263.0,2.0
13419,apocalyptic,638084.0,2.0
13420,breastfeed,225697.0,1.0
13421,oceangoing,24424.0,2.0
13422,smear,1289528.0,13.0
13423,fringe,3682385.0,2.0
13424,helpmate,34541.0,1.0
13425,mixed,25395056.0,20.0
13426,provisional,4154786.0,2.0
13427,honky,536122.0,1.0
13428,referenced,6189204.0,2.0
13429,dagger,1421836.0,2.0
13430,stria,40045.0,1.0
13431,bountiful,670943.0,4.0
13432,blessed,6405474.0,14.0
13433,mujahadeen,21872.0,2.0
13434,strip,18711440.0,20.0
13435,anise,324336.0,1.0
13436,totalitarian,593878.0,1.0
13437,cuttlefish,131626.0,1.0
13438,madder,139288.0,14.0
13439,obsessional,25881.0,2.0
13440,lodgings,814732.0,11.0
13441,striker,1286700.0,1.0
13442,hiccup,213341.0,1.0
13443,intoxication,658221.0,3.0
13444,defoliate,12718.0,1.0
13445,downstairs,1722288.0,1.0
13446,orthopedist,45452.0,1.0
13447,romantic,13055842.0,4.0
13448,pitting,311903.0,6.0
13449,ember,488846.0,1.0
13450,jabbing,50501.0,4.0
13451,blackbird,712523.0,2.0
13452,embed,1217930.0,2.0
13453,electrifying,270447.0,3.0
13454,dolmen,133016.0,2.0
13455,sedative,333596.0,4.0
13456,tectonic,698377.0,1.0
13457,wellbeing,1451477.0,1.0
13458,citation,9810893.0,6.0
13459,deer,10007644.0,1.0
13460,deep,53447410.0,13.0
13461,general,311757793.0,20.0
13462,deem,1364711.0,1.0
13463,file,241864251.0,1.0
13464,deed,4207336.0,1.0
13465,metier,35507.0,1.0
13466,film,116097842.0,3.0
13467,fill,35148024.0,6.0
13468,tedious,1508727.0,7.0
13469,floored,243271.0,4.0
13470,ceaselessly,84765.0,2.0
13471,repent,824802.0,1.0
13472,synesthesia,55366.0,1.0
13473,fruitless,355606.0,3.0
13474,important,136103455.0,13.0
13475,decorated,4402966.0,8.0
13476,sneeze,360023.0,1.0
13477,conclusive,973331.0,2.0
13478,sardine,192796.0,2.0
13479,sewed,175012.0,4.0
13480,recklessness,161711.0,2.0
13481,inhibited,1476480.0,5.0
13482,haired,3043626.0,1.0
13483,husky,1606901.0,4.0
13484,oral,41947093.0,2.0
13485,vile,930726.0,8.0
13486,forbidden,5424002.0,14.0
13487,sunk,1217793.0,8.0
13488,sung,3242040.0,7.0
13489,inexhaustible,209547.0,1.0
13490,modernization,1766223.0,1.0
13491,prodding,171593.0,5.0
13492,hideous,755404.0,2.0
13493,ocher,30934.0,1.0
13494,returning,12197026.0,19.0
13495,bleach,1544694.0,5.0
13496,difference,44546845.0,15.0
13497,cheerful,1722018.0,4.0
13498,extrusion,910865.0,8.0
13499,dictatorship,1128173.0,5.0
13500,juxtaposition,328247.0,2.0
13501,designedly,14022.0,2.0
13502,auriga,139929.0,1.0
13503,abridge,96435.0,2.0
13504,sivan,106710.0,1.0
13505,illogical,816055.0,4.0
13506,undecipherable,19742.0,1.0
13507,diffusing,192752.0,17.0
13508,fixings,533926.0,33.0
13509,everlasting,1630054.0,5.0
13510,public,349286123.0,3.0
13511,compilation,11894545.0,2.0
13512,component,39752354.0,3.0
13513,dabbled,114487.0,4.0
13514,bible,45080741.0,1.0
13515,enmity,325547.0,12.0
13516,whimsical,915719.0,2.0
13517,alphabetize,59926.0,1.0
13518,usurpation,108554.0,3.0
13519,marooned,126482.0,3.0
13520,readily,6800893.0,1.0
13521,trilateral,206928.0,3.0
13522,wanted,63301836.0,4.0
13523,eye,52688696.0,2.0
13524,trounce,52541.0,7.0
13525,puke,524316.0,7.0
13526,comparing,7852873.0,3.0
13527,splash,4047574.0,15.0
13528,amenities,10198635.0,3.0
13529,raft,1384375.0,10.0
13530,suite,44829675.0,4.0
13531,lemony,591827.0,1.0
13532,deist,70349.0,2.0
13533,equine,2240303.0,1.0
13534,lefthander,24485.0,2.0
13535,abandon,2747961.0,22.0
13536,mutuality,117123.0,2.0
13537,bravely,510443.0,1.0
13538,gravely,481149.0,2.0
13539,sphere,5522351.0,5.0
13540,attain,2668275.0,15.0
13541,reproachful,32483.0,1.0
13542,hypercritical,12965.0,1.0
13543,reliving,154499.0,1.0
13544,awkward,2013836.0,15.0
13545,corrections,16226542.0,5.0
13546,intoned,68535.0,4.0
13547,hostelry,81170.0,2.0
13548,gravelly,193194.0,5.0
13549,chute,834005.0,1.0
13550,hypnotized,230339.0,9.0
13551,crowded,3236969.0,4.0
13552,spiteful,169302.0,2.0
13553,crippling,442891.0,5.0
13554,blunder,393255.0,13.0
13555,deserted,1525106.0,5.0
13556,responsibility,55448425.0,2.0
13557,spheric,68048.0,1.0
13558,playing,51019438.0,18.0
13559,winged,1878347.0,1.0
13560,catamount,69044.0,3.0
13561,radar,14982375.0,1.0
13562,rifled,105448.0,8.0
13563,predisposed,324627.0,1.0
13564,visceral,627549.0,1.0
13565,lashings,73728.0,13.0
13566,controllable,563524.0,1.0
13567,thrilling,1386231.0,10.0
13568,adios,348221.0,5.0
13569,underestimate,884360.0,5.0
13570,disrespectful,382662.0,2.0
13571,capriciousness,16638.0,1.0
13572,complain,4585812.0,10.0
13573,association,109416386.0,21.0
13574,cautery,40485.0,1.0
13575,someone,76212141.0,2.0
13576,shekels,346318.0,1.0
13577,exquisite,3274003.0,4.0
13578,forthright,270375.0,4.0
13579,harm,10026586.0,2.0
13580,hark,393694.0,2.0
13581,energy,117451031.0,4.0
13582,hard,130054708.0,24.0
13583,hermaphroditism,23798.0,1.0
13584,schoolmate,55595.0,2.0
13585,gloominess,12806.0,5.0
13586,orient,2753211.0,4.0
13587,harp,2548850.0,1.0
13588,childish,872504.0,2.0
13589,throes,249165.0,1.0
13590,crowing,109367.0,4.0
13591,discouraging,564172.0,4.0
13592,vitiate,70490.0,7.0
13593,print,178250872.0,1.0
13594,fortitude,497342.0,4.0
13595,ironed,195063.0,2.0
13596,foreground,1541989.0,2.0
13597,silversides,27555.0,1.0
13598,disobedience,741082.0,1.0
13599,laughably,69067.0,3.0
13600,circumstance,2235074.0,14.0
13601,motherfucker,396011.0,1.0
13602,cloister,324868.0,1.0
13603,laughable,436357.0,8.0
13604,revival,3567939.0,5.0
13605,predate,108583.0,4.0
13606,reinforced,3877044.0,4.0
13607,copper,14543941.0,1.0
13608,barbarian,1008628.0,12.0
13609,done,102812628.0,19.0
13610,shoal,435185.0,1.0
13611,booty,14218854.0,1.0
13612,disown,81464.0,1.0
13613,kinder,1307814.0,1.0
13614,revive,1247670.0,8.0
13615,least,111229798.0,1.0
13616,militant,1596979.0,4.0
13617,regulation,28958148.0,5.0
13618,assumption,8239127.0,6.0
13619,lease,17180592.0,2.0
13620,nursery,8938613.0,1.0
13621,pare,435031.0,1.0
13622,travail,798694.0,5.0
13623,para,17864371.0,1.0
13624,park,141548802.0,2.0
13625,draped,632982.0,6.0
13626,part,302729303.0,32.0
13627,believe,75918053.0,2.0
13628,carnage,863190.0,2.0
13629,eastwards,130641.0,1.0
13630,savagery,210725.0,3.0
13631,ungodly,304649.0,1.0
13632,recording,28875301.0,12.0
13633,supposed,14497557.0,17.0
13634,sedate,169814.0,3.0
13635,declare,5612067.0,1.0
13636,yuletide,187068.0,1.0
13637,idler,358013.0,12.0
13638,categorized,2402134.0,3.0
13639,majority,28456588.0,1.0
13640,deepening,778101.0,6.0
13641,insufferable,108591.0,1.0
13642,zucchini,789907.0,1.0
13643,easygoing,179771.0,2.0
13644,most,416210411.0,3.0
13645,extremely,24102186.0,2.0
13646,branching,1431164.0,7.0
13647,stereotypic,35462.0,2.0
13648,spoilsport,14733.0,1.0
13649,mediation,4618800.0,1.0
13650,sector,48746882.0,1.0
13651,sparrow,1853517.0,1.0
13652,malignant,2431848.0,1.0
13653,contorted,114690.0,5.0
13654,canvassing,331027.0,7.0
13655,epicure,154227.0,3.0
13656,ruin,2879219.0,9.0
13657,distributed,28094905.0,14.0
13658,unhappy,2736179.0,4.0
13659,defiled,199832.0,9.0
13660,fiend,670385.0,2.0
13661,override,3017162.0,3.0
13662,devastate,144432.0,1.0
13663,wonky,125930.0,2.0
13664,theft,12744763.0,2.0
13665,merchandise,20241873.0,2.0
13666,huff,1013100.0,2.0
13667,contagious,1009095.0,2.0
13668,remove,50036200.0,3.0
13669,common,107839275.0,14.0
13670,fossilised,29293.0,3.0
13671,unfettered,383851.0,3.0
13672,severing,170802.0,1.0
13673,locating,3061095.0,6.0
13674,fledged,736854.0,4.0
