307,10000,10000,135,6953,336
308,3345,5636,4424,880,1010
309,10000,88,240,151,68
310,178,140,4108,856,142
311,903,2834,111,54,220
312,3855,65,303,152,169
313,3718,6727,824,155,117
314,7214,3157,71,110,123
315,10000,182,559,466,84
316,10000,2204,78,251,2054
317,78,7622,416,2606,1302
318,10000,329,245,1286,67
319,5994,10000,366,259,56
320,10000,617,5212,3442,1975
321,269,10000,137,85,757
322,10000,1153,1574,416,88
323,10000,1960,97,132,116
324,1416,50,4611,515,96
325,1982,1619,112,72,163
326,520,315,70,194,2944
327,4273,3577,113,2039,1579
328,10000,1111,2297,61,649
329,51,214,2457,1159,567
330,10000,2078,1469,70,441
331,129,4695,273,4141,945
332,10000,6266,2344,28,81
333,475,222,931,85,80
334,4607,5500,2230,2055,141
335,10000,3925,5895,2083,875
336,4997,6461,1390,649,55
337,10000,156,87,1094,1735
338,2742,155,120,983,511
339,10000,680,3410,1092,403
340,6659,5072,1898,30,2837
341,10000,273,1350,52,1543
342,101,1497,67,647,1502
343,10000,107,4275,588,166
344,690,99,1302,4066,70
345,8358,3086,359,68,1529
346,4066,2288,220,2703,614
347,10000,4918,1311,4280,91
348,1426,425,170,421,77
349,10000,122,537,46,491
350,1325,88,1942,273,86
351,10000,10000,46,1676,79
352,1386,816,722,22,45
353,10000,7363,8489,118,34
354,10000,1551,485,123,1384
355,4056,7376,109,293,313
356,2575,500,98,804,2905
357,1080,1425,282,3030,168
358,6571,2871,117,4463,51
359,10000,3676,1711,629,575
360,10000,407,686,419,1111
361,4356,8275,232,178,389
362,10000,829,66,1148,79
363,10000,57,904,8176,146
364,10000,100,74,145,1299
365,6645,2330,1375,259,973
366,10000,988,466,116,37
367,10000,190,1529,134,998
368,353,61,1386,651,271
369,9926,29,1420,1023,1109
370,10000,7472,100,20,236
371,10000,1092,278,125,245
372,4073,4810,37,1407,99
373,4187,168,4015,94,91
374,109,877,5609,99,1067
375,496,173,567,1735,343
376,71,162,2304,890,1292
377,10000,62,1206,855,2275
378,4081,112,88,910,149
379,10000,1650,2617,94,1713
380,10000,1477,1111,229,888
381,10000,3211,3298,113,3120
382,10000,482,24,142,238
383,4073,6514,5745,61,109
384,10000,10000,5945,2202,1010
385,600,5808,89,537,115
386,10000,6874,1684,941,1994
387,10000,255,2748,284,187
388,7574,6660,137,708,305
389,2374,3056,980,85,513
390,2959,136,160,534,194
391,10000,259,790,1750,84
392,10000,7336,96,938,207
393,10000,2214,667,65,101
394,10000,6581,733,3809,102
395,10000,5083,750,1653,133
396,6735,94,303,1856,63
397,699,607,101,71,94
398,9214,3090,555,1462,128
399,9537,10000,10000,93,2309
400,10000,3716,1949,1723,361
401,649,59,5715,254,620
402,226,4610,57,313,673
403,298,8276,242,1027,738
404,5986,5625,57,82,79
405,114,1997,1162,310,3674
406,2775,10000,95,699,52
407,4620,321,3827,1462,2086
408,10000,129,6176,101,468
409,3163,5754,141,2016,3207
410,10000,10000,460,1519,1264
411,10000,132,88,68,68
412,10000,2406,77,58,1341
413,5153,5822,2601,164,123
414,10000,972,2425,2770,83
415,8132,10000,159,69,1822
416,1787,29,103,101,1653
417,33,7022,2679,1057,176
418,7293,92,650,47,36
419,1006,10000,4344,201,78
420,5503,97,2343,9,753
421,7742,7039,68,601,2046
422,2426,3503,105,2439,1209
423,380,10000,2998,501,91
424,2667,10000,885,385,104
425,5644,7122,3868,817,117
426,502,5393,80,3140,219
427,496,10000,5839,114,2458
428,10000,184,71,66,93
429,10000,1600,1562,73,585
430,871,10000,2058,1990,395
431,10000,4841,1822,146,283
432,424,3363,429,686,994
433,10000,1977,128,65,102
434,10000,194,322,2875,17
435,10000,3787,4384,788,668
436,2644,519,1832,2940,3059
437,51,3708,103,336,29
438,6831,68,871,2460,2150
439,3522,10000,63,201,615
440,10000,1242,675,62,938
441,726,68,35,74,51
442,10000,745,79,810,3804
443,9748,130,132,86,463
444,106,792,2495,74,2334
445,6648,7449,2985,63,775
446,201,1469,573,1217,1023
447,3291,260,5987,80,52
448,10000,1373,267,1851,1456
449,10000,3071,5845,62,2003
450,10000,154,3012,106,980
451,6042,4637,2779,181,199
452,9924,1793,3244,110,333
453,10000,2707,315,218,80
454,167,2865,178,69,898
455,147,80,2317,1099,64
456,470,62,138,978,649
457,10000,3690,1595,1489,627
458,10000,3246,7484,9,39
459,9046,934,118,99,1203
460,9306,155,117,5947,91
461,459,3539,75,66,101
462,207,195,3383,103,757
463,10000,217,2102,825,68
464,5994,9442,687,785,102
465,2310,2133,115,1969,2690
466,10000,188,2287,109,2857
467,10000,116,2069,408,24
468,10000,3826,91,408,32
469,10000,4220,73,218,51
470,10000,10000,78,1307,981
471,9203,649,2164,88,68
472,3540,1721,196,93,1181
473,719,10000,295,2227,135
474,10000,537,72,1074,1814
475,7748,176,374,2370,110
476,624,47,115,627,120
477,305,113,1494,5183,116
478,10000,4776,106,41,453
479,183,7920,517,677,72
480,61,102,487,1018,88
481,251,1334,67,188,69
482,7438,10000,57,90,70
483,116,1120,113,45,55
484,311,224,486,1543,93
485,10000,3662,1196,156,2412
486,5185,203,260,566,3267
487,8886,5940,492,721,100
488,9404,216,121,403,130
489,2935,214,2401,72,57
490,411,8050,900,1197,49
491,3685,712,110,30,135
492,917,3462,74,311,99
493,8030,6687,9,147,3050
494,10000,120,80,833,102
495,5198,41,394,2415,695
496,10000,602,1508,695,92
497,89,508,3963,42,3482
498,10000,1810,1685,97,899
499,3177,5718,63,3565,822
500,238,2289,4482,3077,912
501,10000,3275,1796,3052,562
502,335,99,45,1462,92
503,10000,1302,87,3589,529
504,276,2925,400,227,139
505,396,107,588,110,696
506,10000,439,59,1840,58
507,2557,6375,892,46,124
508,2979,4677,819,174,70
509,127,10000,894,137,62
510,161,85,28,153,66
511,5081,811,1168,107,1622
512,10000,153,539,1719,1952
513,10000,71,6305,65,4
514,8823,9203,2775,823,1080
515,231,1448,1812,39,107
516,10000,1062,1502,82,465
517,405,2154,2601,722,780
518,607,2650,642,565,4944
519,7903,3080,1241,109,440
520,10000,1095,982,122,780
521,7090,4727,2249,451,446
522,9467,2393,3369,131,326
523,5509,5771,44,93,68
524,318,10000,113,1484,1425
525,6997,2040,328,116,82
526,105,423,224,228,57
527,115,2328,2542,726,1225
528,5960,3606,1401,622,51
529,6564,139,1327,85,48
530,10000,1505,1905,185,69
531,2437,169,1732,4536,755
532,5966,3304,3018,74,134
533,1320,296,3292,455,44
534,4557,747,87,2274,116
535,3938,204,1853,1665,84
